DateTime,AddedIPs,RemovedIPs
1573149469,1,0
1573155402,1,1
1573163071,1,0
1573353880,0,1
1573357701,1,0
1573499080,2,0
1573501244,0,1
1573509393,1,1
1573511548,0,1
1573521417,1,0
1573552582,1,0
1573585973,0,2
1573591698,1,0
1573607102,0,1
1573677470,0,1
1573679580,1,0
1573712451,1,0
1573714357,0,1
1573764979,0,1
1573856659,1,0
1573865321,1,0
1573875165,0,1
1573892433,0,1
1573904425,0,1
1573926271,1,0
1573993594,1,0
1574030894,0,1
1574032830,1,0
1574119480,0,1
1574125498,1,0
1574147562,0,1
1574164359,1,0
1574210658,0,1
1574212715,1,0
1574241865,1,0
1574243798,1,0
1574274508,1,0
1574291560,0,1
1574295379,0,1
1574299228,0,1
1574307143,0,1
1574329248,0,1
1574333069,1,0
1574360693,0,1
1574366933,0,1
1574417329,0,1
1574423557,1,0
1574439404,1,0
1574512827,1,0
1574574751,0,1
1574611949,0,1
1574616029,1,0
1574703171,0,1
1574705308,1,0
1574726912,1,0
1574792478,0,1
1574794409,1,0
1574800372,1,0
1574802526,1,0
1574870188,0,1
1574876212,0,1
1574880034,0,1
1574967396,1,0
1575000304,0,2
1575052247,1,0
1575060567,1,0
1575141635,1,0
1575227326,0,1
1575231409,0,1
1575296903,1,0
1575342768,0,1
1575352334,0,1
1575382113,0,1
1575504975,1,0
1575577013,1,0
1575578943,1,0
1575582747,1,0
1575592574,0,1
1575604109,1,0
1575656706,1,0
1575665583,0,1
1575667487,1,0
1575703759,0,1
1575705900,0,1
1575722433,1,0
1575732259,0,1
1575734197,1,0
1575752184,0,1
1575754384,1,0
1575810987,0,1
1575820974,0,1
1575838344,1,0
1575840251,0,1
1575856609,0,1
1575921397,0,1
1575925710,1,0
1575982703,1,0
1576004174,1,0
1576069504,0,1
1576091567,0,1
1576093476,2,0
1576099226,0,1
1576179875,0,1
1576284013,1,0
1576370663,0,1
1576458108,0,1
1576502435,1,0
1576660347,1,0
1576698018,1,0
1576700219,1,0
1576747472,0,1
1576783264,0,1
1576785138,1,0
